Date,Planning Number,Planning Type,Project Name,Address,Status,Short Notes
2/10/2014,DET140006,Letter of Determination,Determination of legalizty of unit,"2502 E 15TH ST, Oakland CA 94601",Filed,Determination of legalizty of unit.
1/28/2014,DET140003,Letter of Determination,Determination letter,"2783 E 12TH ST, Oakland CA 94601",Accepted,Letter of zoning determination
10/16/2019,DET190164,Letter of Determination,DET at 10065 Byron Ave,"10065 BYRON AVE, Oakland CA 94603",Accepted,
10/16/2019,DET190163,Letter of Determination,DET at 10207 Byron Ave,"10207 BYRON AVE, Oakland CA 94603",Accepted,
5/8/2019,DET190054,Letter of Determination,DET @ 72 98TH AVENUE / APN 044 502000600,"72 98TH AVE, Oakland CA 94603",Filed,
5/8/2019,DET190055,Letter of Determination,DET @ 72 98TH AVENUE / APN 044 502000333,"72 98TH AVE, Oakland CA 94603",Filed,
5/3/2019,DET190052,Letter of Determination,DET@ 82 98TH AVENUE,"82 98TH AVE, Oakland CA 94603",Under Review,
3/6/2019,DET190017,Letter of Determination,DET at 1316 97th Avenue,"1316 97TH AVE, Oakland CA 94603",Complete,
12/11/2018,DET180150,Letter of Determination,DET @ 9131 San Leandro St,"9131 SAN LEANDRO ST, Oakland CA 94603",Complete,
10/30/2018,DET180136,Letter of Determination,DET @ 1840 90th AVE - BurnDown letter,"1840 90TH AVE, Oakland CA 94603",Filed,
9/18/2018,DET180111,Letter of Determination,DET @ 9912 MEDFORD AVE,"9912 MEDFORD AVE, Oakland CA 94603",Complete,
9/18/2018,DET180114,Letter of Determination,DET @10203 E STREET 45-5214-18-2,"10203 E ST, Oakland CA 94603",Complete,
9/18/2018,DET180112,Letter of Determination,DET @10203 E STREET 45-5214-6,"10203 E ST, Oakland CA 94603",Complete,
9/18/2018,DET180115,Letter of Determination,DET @ E STREET 45-5214-18-1,"0 E ST, Oakland CA 94603",Complete,
7/23/2018,DET180108,Letter of Determination,DET @ 9957 MEDFORD AVE (45-5214-5),"9957 MEDFORD AVE, Oakland CA 94603",Filed,
6/6/2018,DET180068,Letter of Determination,DET @ 41 TUNNEL RD,"41 TUNNEL RD, Oakland CA 94705",Complete,
5/11/2018,DET180057,Letter of Determination,DET @ 1276 96TH AVE,"1276 96TH AVE, Oakland CA 94603",Complete,
5/11/2018,DET180058,Letter of Determination,DET @ 9615 A STREET,"9615 A ST, Oakland CA 94603",Complete,
12/1/2017,DET170127,Letter of Determination,Independent Recycaling Services (Determination for expansion),"9039 SAN LEANDRO ST, Oakland CA 94603",Complete,
10/24/2017,DET170117,Letter of Determination,Kenilworth DET Letter,"0 KENILWORTH RD, Oakland CA 94603",Complete,
10/20/2017,DET170114,Letter of Determination,burn down letter,"10065 BYRON AVE, Oakland CA 94603",Complete,
5/17/2017,DET170049,Letter of Determination,DET for 9921 Medford Avenue,"9921 MEDFORD AVE, Oakland CA 94603",Accepted,
5/3/2017,DET170044,Letter of Determination,Unit DET Letter,"9404 E ST, Oakland CA 94603",Complete,
9/30/2016,DET160124,Letter of Determination,Letter of Determination - 555 98th ave,"555 98TH AVE, Oakland CA 94603",Complete,
3/16/2016,DET160033,Letter of Determination,Burn Letter,"2125 92ND AVE, Oakland CA 94603",Complete,
2/23/2016,DET160023,Letter of Determination,use DET for 9850 Kitty Lane,"9850 KITTY LN, Oakland CA 94603",Under Review,
1/28/2016,DET160014,Letter of Determination,DET @ 845 92ND AVE (LETTER/RESEARCH),"845 92ND AVE, Oakland CA 94603",Filed,
1/6/2016,DET160002,Letter of Determination,Zoning confirmation letter,"2125 92ND AVE, Oakland CA 94603",Complete,
1/6/2016,DET160001,Letter of Determination,Zoning Letter,"2124 90TH AVE, Oakland CA 94603",Complete,
6/18/2015,DET150044,Letter of Determination,Determination for Existing Non-conforming Status,"9234 E ST, Oakland CA 94603",Under Review,Written Determination Request for a determination that the two homes that were previously at the site should qualify to be re-established pursuant to Planning Code Section 17.114.060. Both houses were being renovated and having foundation replacements whe
2/13/2015,DET150013,Letter of Determination,Burn Down letter,"1807 DURANT AVE, Oakland CA 94603",Under Review,Burn down letter
12/11/2014,DET140147,Letter of Determination,Burn Down Letter,"9432 SUNNYSIDE ST, Oakland CA 94603",Complete,Burn Down Letter
9/23/2014,DET140120,Letter of Determination,Determination Letter For Number of Dwelling Units.,"2006 92ND AVE, Oakland CA 94603",Complete,Determination Letter for the number of dwelling units. (Owner provided evidence of 3 units).
6/3/2014,DET140037,Letter of Determination,Billboard Amortization,"1080 98TH AVE, Oakland CA 94603",Complete-Pending Appeal,"CBS Outdoor BB#1957 to be amortized. Notice date 6/2/14, appeal deadline 9/2/14, amortization date 6/2/21"
4/17/2014,DET140022,Letter of Determination,Independent Recycling Service LLC,"9039 SAN LEANDRO ST, Oakland CA 94603",Under Review,17.73.035: Special regu;lation for Recycling and Waste-Related industrial Activities (Primary Recycling Center)
4/15/2014,DET140021,Letter of Determination,Towing service legality determination,"1360 107TH AVE, Oakland CA 94603",Under Review,Determination of the legal status of a towing and storage activity.Site also includes
4/8/2014,DET140020,Letter of Determination,sutter determination,"1841 98TH AVE, Oakland CA 94603",Void,Zoning Determination re: feasibility of filing condo map to split commercial space (laundromat) from two dwellings in the same pre-War building on 4823 square foot RM zoned lot
10/11/2019,DET190162,Letter of Determination,DET @ 303-333 Hegenberger Rd (zoning verification ltr),"303 HEGENBERGER RD, Oakland CA 94621",Void,
10/4/2019,DET190158,Letter of Determination,DET @ 6195-6201 Coliseum + 3 lots (zoning research),"6195 COLISEUM WY, Oakland CA 94621",Filed,
8/5/2019,DET190109,Letter of Determination,DET @ 5901 SAN LEANDRO ST (ZONING RESEARCH),"5901 SAN LEANDRO ST, Oakland CA 94621",Filed,
6/20/2019,19TMP-002525,Letter of Determination,Jalyn Porchay,"7677 OAKPORT ST, Oakland CA 94621",,
6/20/2019,DET190073,Letter of Determination,Jalyn Porchay,"7677 OAKPORT ST, Oakland CA 94621",Void,
6/19/2019,DET190072,Letter of Determination,Determination for new Primary Recycling Center with performance standards,"8907 RAILROAD AVE, Oakland CA 94621",Complete,
6/3/2019,DET190066,Letter of Determination,DET@ 1100 77TH AVE.,"1100 77TH AVE, Oakland CA 94621",Complete,
4/5/2019,DET190036,Letter of Determination,DET @ 7217 San Leandro Street,"7217 SAN LEANDRO ST, Oakland CA 94621",Letter Complete,
1/17/2019,DET190006,Letter of Determination,Burn Down Letter,"5801 EASTLAWN ST, Oakland CA 94621",Filed,
9/25/2018,DET180117,Letter of Determination,DET @ 8511 BLAINE ST,"8511 BLAINE ST, Oakland CA 94621",Complete,
7/13/2018,DET180082,Letter of Determination,DET (Zoning Manager Decision) @ 685 85th Ave (#1704270),"685 85TH AVE, Oakland CA 94621",Appealed,
6/6/2018,DET180070,Letter of Determination,DET @ 550 85TH AVE,"550 85TH AVE, Oakland CA 94621",Complete,
3/23/2018,DET180027,Letter of Determination,DET @ 350 HEGENBERGER RD,"350 HEGENBERGER RD, Oakland CA 94621",Complete,
2/14/2018,DET180015,Letter of Determination,DET @ 7402 LOCKWOOD ST,"7402 LOCKWOOD ST, Oakland CA 94621",Complete,
1/5/2018,DET180004,Letter of Determination,Rebuild Letter,"1476 79TH AVE, Oakland CA 94621",Complete,
1/2/2018,DET180002,Letter of Determination,DET @ 8400 EDES AVE,"8400 EDES AVE, Oakland CA 94621",Complete,
12/21/2017,DET170131,Letter of Determination,DET @ 8907 RAILROAD AVE,"8907 RAILROAD AVE, Oakland CA 94621",Complete,
12/1/2017,DET170124,Letter of Determination,DET@8511 BLAINE ST. (RESEARCH LETTER),"8511 BLAINE ST, Oakland CA 94621",Complete,
12/1/2017,DET170125,Letter of Determination,DET@5601 SAN LEANDRO (RESEARCH LETTER),"5601 SAN LEANDRO ST, Oakland CA 94621",Complete,
11/15/2017,DET170122,Letter of Determination,DET@1922 88TH ST (BURN DOWN LETTER),"1922 88TH AVE, Oakland CA 94621",Complete,
10/17/2017,DET170110,Letter of Determination,DET @ 8033 Holly St (burn down letter),"8033 HOLLY ST, Oakland CA 94621",Filed,
9/27/2017,DET170105,Letter of Determination,DET at 303 and 333 Hegenberger,"333 HEGENBERGER RD, Oakland CA 94621",Void,
9/7/2017,DET170095,Letter of Determination,DET at 1633 64th Ave (Burn Down),"1633 64TH AVE, Oakland CA 94621",Complete,
8/8/2017,DET170082,Letter of Determination,DET at 5733 San Leandro Street,"5733 SAN LEANDRO ST, Oakland CA 94621",Complete,
7/27/2017,DET170078,Letter of Determination,Unit Count Determination,"1330 76TH AVE, Oakland CA 94621",Complete,
6/15/2017,DET170068,Letter of Determination,DET at 8480 Edes Ave,"8480 EDES AVE, Oakland CA 94621",Under Review,
4/27/2017,DET170040,Letter of Determination,Recyclinlg compliance,"800 77TH AVE, Oakland CA 94621",Under Review,
2/7/2017,DET170005,Letter of Determination,Determination for number of legal units,"1521 79TH AVE, Oakland CA 94621",Complete,
11/29/2016,DET160150,Letter of Determination,Burn down letter for zoning and general plan only,"444 HEGENBERGER RD, Oakland CA 94621",Complete,
8/22/2016,DET160103,Letter of Determination,Letter of Determination for 550 85th Ave,"550 85TH AVE, Oakland CA 94621",Complete,
8/16/2016,DET160099,Letter of Determination,Letter of Determination - 7500 Edgewater Dr,"7500 EDGEWATER DR, Oakland CA 94621",Complete,
8/16/2016,DET160098,Letter of Determination,Letter of Determination for 7500 Edgewater Dr,"7500 EDGEWATER DR, Oakland CA 94621",Void,
8/12/2016,DET160097,Letter of Determination,Burn Down Letter for Zoning and General Plan Designation,"1829 73RD AVE, Oakland CA 94621",Complete,
8/8/2016,DET160090,Letter of Determination,Letter of Determination with research,"5601 SAN LEANDRO ST, Oakland CA 94621",Filed,
7/13/2016,DET160084,Letter of Determination,Burn Down Letter,"1920 69TH AVE, Oakland CA 94621",Complete,
7/7/2016,DET160081,Letter of Determination,LETTER OF DETERMINATION - 7607 WELD ST.,"7607 WELD ST, Oakland CA 94621",Complete,
7/6/2016,DET160077,Letter of Determination,Determination letter with research,"350 Hegenberger RD, OAKLAND CA 94621",Complete,
6/7/2016,DET160066,Letter of Determination,Determination of Auto accessory sales,"901 77TH AVE, Oakland CA 94621",Filed,
3/16/2016,DET160034,Letter of Determination,DET @ 5733 SAN LEANDRO ST (RESEARCH/LTR),"5733 SAN LEANDRO ST, Oakland CA 94621",Filed,
3/10/2016,DET160029,Letter of Determination,DET @ 8707 SAN LEANDRO ST (RESEARCH/LETTER),"8707 SAN LEANDRO ST, Oakland CA 94621",Filed,
3/10/2016,DET160030,Letter of Determination,DET @ 8855 SAN LEANDRO ST (LTR/RESEARCH),"8855 SAN LEANDRO ST, Oakland CA 94621",Filed,
1/13/2016,DET160006,Letter of Determination,Letter of Determination,"8717 G ST, Oakland CA 94621",Complete,
12/10/2015,DET150105,Letter of Determination,Letter of zoning determination,"6345 COLISEUM WY, Oakland CA 94621",Under Review,
9/1/2015,DET150071,Letter of Determination,HOTEL letter,"200 HEGENBERGER RD, Oakland CA 94621",Filed,Letter re: code provisions of CR zone and 17.103 allowing (by conditional use permit and design review) a high end luxury hotel on Hegenberger near airport
8/28/2015,DET150070,Letter of Determination,Letter of determination,"170 HEGENBERGER LOOP, Oakland CA 94621",Complete,Zoning determination letter for 170 Hegenberger Loop
6/30/2015,DET150051,Letter of Determination,DET @ 6401 SAN LEANDRO ST (RESEARCH/NO MGR),"6401 SAN LEANDRO ST, Oakland CA 94621",Filed,Determination Letter @ 6401 San Leandro Street / Extra Space Storage (Research Required / No Zoning Manager)
5/11/2015,DET150035,Letter of Determination,DET @ 550 85TH AVE (RESEARCH REQ'D/STAFF),"550 85TH AVE, Oakland CA 94621",Filed,Determination @ 550 85th Avenue (research required/staff)
3/17/2015,DET150025,Letter of Determination,Burn Letter,"1459 74TH AVE, Oakland CA 94621",Under Review,Down down letter
3/17/2015,DET150024,Letter of Determination,Burn Down Letter,"449 HEGENBERGER RD, Oakland CA 94621",Under Review,Burn down letter
3/5/2015,DET150020,Letter of Determination,Determination Letter for unit count,"8704 D ST, Oakland CA 94621",Under Review,Zoning determination letter for unit count.
2/5/2015,DET150012,Letter of Determination,73rd ave unit count,"1931 73RD AVE, Oakland CA 94621",Complete,Zoning Determination letter requested to find 3 legal dwellings plus 1 commercial space is existing pre- 1930 building
1/23/2015,DET150007,Letter of Determination,Letter of zoning determination,"2126 57TH AVE, Oakland CA 94621",Complete,Letter of zoning determination
10/7/2014,DET140125,Letter of Determination,Letter of determination for 940 81st Avenue,"940 81ST AVE, Oakland CA 94621",Under Review,Letter of zoning determination
7/29/2014,DET140107,Letter of Determination,Rebuild Letter for Underwriter,"1629 85TH AVE, Oakland CA 94621",Complete,1629 85th Avenue request for confirmation on zoning and conditions to rebuild
7/18/2014,DET140104,Letter of Determination,Zoning determination letter,"8480 EDES AVE, Oakland CA 94621",Complete,Zoning determination letter for 8480 Edes Avenue
6/19/2014,DET140096,Letter of Determination,BURN DOWN LETTER ONLY FOR ZONING AND GENERAL PLAN DESIGNATION,"8912 B ST, Oakland CA 94621",Complete,Applicant's proposal to obtain a Planning department Burn Down Letter for Zoning and General Plan designation only.
6/4/2014,DET140089,Letter of Determination,Billboard Amortization,"7804 INTERNATIONAL BLVD, Oakland CA 94621",Complete,"Clear Channel BB#1784 to be amortized. Notice date 6/2/14, appeal deadline 9/2/14, amortization date 6/2/21"
6/4/2014,DET140088,Letter of Determination,Billboard Amortization,"7701 INTERNATIONAL BLVD, Oakland CA 94621",Complete,"Clear Channel BB#1777 & 1778 to be amortized. Notice date 6/2/14, appeal deadline 9/2/14, amortization date 6/2/21"
6/4/2014,DET140087,Letter of Determination,Billboard Amortization,"6662 INTERNATIONAL BLVD, Oakland CA 94621",Complete,"Clear Channel BB#1770 to be amortized. Notice date 6/2/14, appeal deadline 9/2/14, amortization date 6/2/21"
6/3/2014,DET140059,Letter of Determination,Billboard Amortization,"8670 INTERNATIONAL BLVD, Oakland CA 94621",Complete-Pending Appeal,"CBS Outdoor BB#4342 & 4343 to be amortized. Notice date 6/2/14, appeal deadline 9/2/14, amortization date 6/2/19"
6/3/2014,DET140057,Letter of Determination,Billboard Amortization,"6315 INTERNATIONAL BLVD, Oakland CA 94621",Complete-Pending Appeal,"CBS Outdoor BB#1387 to be amortized. Notice date 6/2/14, appeal deadline 9/2/14, amortization date 6/2/21"
5/21/2014,DET140032,Letter of Determination,8724 International Blvd: Burn Down Letter,"8724 INTERNATIONAL BLVD, Oakland CA 94621",Complete,Prepared Burn Down letter for this address.
4/22/2014,DET140024,Letter of Determination,Burn Down Letter,"1616 67TH AVE, Oakland CA 94621",Filed,Burn Down letter
